"","a","b","g","u"
"Item_1",1.47127160050742,-0.958627819736198,0.148989719318843,1
"Item_2",1.05579721841206,-1.07632466019497,0.294902620160461,1
"Item_3",1.52787149900283,1.01648851355102,0.263635015773527,1
"Item_4",1.20814848601955,0.0628201399539524,0.265111103099955,1
"Item_5",0.786652785802879,-0.978626393842661,0.185412072964823,1
"Item_6",0.83117183869471,-0.211389485766733,0.356209407580477,1
"Item_7",0.928939239993512,0.615954990639617,0.149415471899547,1
"Item_8",0.972465620157291,2.17865776593724,0.0953060405864664,1
"Item_9",1.25111943562534,-0.0962833582155665,0.116524710015256,1
"Item_10",0.97357315919901,0.76682048856953,0.24377346426398,1
"Item_11",1.18884934564488,1.12732534814567,0.231673860636253,1
"Item_12",0.972519006696664,-0.755063501605001,0.0950768240463509,1
"Item_13",1.29220376120076,-0.458010587250469,0.256727014253315,1
"Item_14",0.785271872024297,0.8460660171777,0.245893014401791,1
"Item_15",0.898809724164323,-0.325947824327538,0.271106866269646,1
"Item_16",1.51063298641069,-1.11686264915235,0.172755992146288,1
"Item_17",0.869652514694678,-0.861064525512587,0.31108306079698,1
"Item_18",1.23850092755995,1.4150600363109,0.164212805349408,1
"Item_19",0.936485749728311,0.929055797839129,0.235673379265648,1
"Item_20",1.26855933062193,-1.09810272204774,0.416609137025181,1
"Item_21",1.14890742013325,-0.08362548331614,0.273835604174716,1
"Item_22",1.6051560694102,-0.123245663265961,0.219815072024201,1
"Item_23",0.958347173028203,0.381331668444032,0.272204076816694,1
"Item_24",0.906870910531533,-2.39509585328825,0.20507204672761,1
"Item_25",1.05792579591121,-0.949944341567847,0.273672634746936,1
"Item_26",0.853205663112513,0.294942868919494,0.148243812410941,1
"Item_27",1.11878785937571,-0.712445908376233,0.370323810313461,1
"Item_28",1.16065471454748,-1.71941446122018,0.328556517132022,1
"Item_29",0.889089967625252,0.217285812419626,0.0977325096228154,1
"Item_30",1.43402476388842,0.308075439960097,0.335781367195008,1
"Item_31",1.09642406205105,1.54319070516486,0.181182145259286,1
"Item_32",1.42336719758959,2.02533173660952,0.228547753773488,1
"Item_33",0.785001125747944,1.12478663518059,0.425256729023797,1
"Item_34",0.753080835034058,-2.31641252405712,0.0881598154259273,1
"Item_35",1.30909302333017,-1.59664521594117,0.163890091446961,1
"Item_36",0.753345082720074,1.03935165122304,0.182150996073577,1
"Item_37",1.11126684483527,1.05853660056585,0.289446163809904,1
"Item_38",1.45096125951016,-1.78003033842207,0.354771962104532,1
"Item_39",1.13225456902866,1.46898157781236,0.319152387407049,1
"Item_40",0.880461684357684,1.62156945390143,0.0980231624108309,1
"Item_41",0.949207620065233,-0.428889568981431,0.478674611029307,1
