"Aluno","Theta","ExpectedRaw","Score0to1000"
"Aluno1",-1.03546190490067,37.14480239924,412.720026658222
"Aluno2",1.05872275020447,73.437741965937,815.974910732633
"Aluno3",0.434737835356031,62.9052649623941,698.947388471045
"Aluno4",-1.23191134569108,34.4563619546923,382.848466163248
"Aluno5",0.0146252835694423,54.9810073758062,610.900081953402
"Aluno6",1.87714406038419,82.9750998464009,921.945553848899
"Aluno7",-2.44264925839096,24.1172635011146,267.969594456829
"Aluno8",-0.540155687541508,44.9245031942987,499.161146603318
"Aluno9",0.58695547994784,65.6717171945019,729.685746605577
"Aluno10",-0.676372001926849,42.6550118369693,473.944575966326
"Aluno11",-0.62099041922402,43.5665126692966,484.072362992184
"Aluno12",-0.85342034230984,39.8485370779765,442.761523088627
"Aluno13",1.55923133399113,79.9004646039294,887.78294004366
"Aluno14",-1.10284548897035,36.1944879815561,402.160977572846
"Aluno15",0.082699973780496,56.2717456456538,625.241618285042
"Aluno16",-0.364454267402949,47.9833365235761,533.14818359529
"Aluno17",1.91166853474742,83.2625884091225,925.139871212473
"Aluno18",2.00344018287265,83.9843228353898,933.159142615443
"Aluno19",0.500875459056297,64.1188726549062,712.431918387847
"Aluno20",0.711426744069515,67.8533322129,753.925913476666
"Aluno21",0.588487475287892,65.6990493914687,729.989437682985
"Aluno22",1.3090163378608,76.9183912635135,854.648791816817
"Aluno23",-0.866279099015769,39.6513101991936,440.570113324373
"Aluno24",0.688235791302166,67.4531558551906,749.479509502118
"Aluno25",-0.937588073647816,38.5744960151963,428.605511279959
"Aluno26",-0.813626659359803,40.4646738718391,449.607487464879
"Aluno27",0.475056477860649,63.6470424390814,707.189360434238
"Aluno28",-0.982713410796889,37.9082336370897,421.202595967664
"Aluno29",0.0264009411538537,55.2039574092687,613.37730454743
"Aluno30",-1.02108426274619,37.3512193999518,415.013548888354
"Aluno31",-0.433100843963458,46.7714591911508,519.682879901675
"Aluno32",-3.02723642449241,22.3150279506584,247.944755007315
"Aluno33",-2.0935021114238,26.0088813541069,288.987570601188
"Aluno34",-0.450758809448092,46.4631328113858,516.25703123762
"Aluno35",1.00768732098584,72.6692931509347,807.436590565941
"Aluno36",-0.151510211221989,51.8620306642944,576.244785158827
"Aluno37",0.182566201527073,58.1685868785998,646.317631984442
"Aluno38",0.818122308420059,69.6536068006065,773.928964451184
"Aluno39",-1.03451498856492,37.1583581648883,412.870646276537
"Aluno40",0.556391014988167,65.1241170166058,723.601300184509
"Aluno41",-0.707468786020811,42.1500897994581,468.33433110509
"Aluno42",-1.19852067759572,34.8953558028046,387.726175586718
"Aluno43",-0.512942640329287,45.3888579554402,504.320643949336
"Aluno44",0.747621100877064,68.4717222381793,760.796913757547
"Aluno45",-0.239560196959177,50.2383862387013,558.204291541125
"Aluno46",-0.729687807658905,41.7923939186861,464.359932429846
"Aluno47",2.29581578755291,85.8929098218052,954.365664686725
"Aluno48",0.590089671114967,65.7276220097305,730.306911219228
"Aluno49",1.26152532987288,76.295718969056,847.730210767289
"Aluno50",1.85258842693426,82.7652261447122,919.613623830136
"Aluno51",-1.13525173435295,35.7477312935932,397.197014373258
"Aluno52",-0.822580060096024,40.3252889969677,448.058766632975
"Aluno53",1.5855893067373,80.185404286838,890.948936520422
"Aluno54",-0.819301107329449,40.3762843976389,448.625382195988
"Aluno55",-0.179814174190247,51.3374135024733,570.415705583036
"Aluno56",1.02468498234525,72.927358849423,810.303987215811
"Aluno57",0.968503615401097,72.0664128074984,800.737920083315
"Aluno58",1.48018299731268,79.0126654161528,877.91850462392
"Aluno59",1.50918433352887,79.3441903795492,881.602115328325
"Aluno60",0.521561770692187,64.4949799809575,716.610888677306
"Aluno61",-0.819936546869152,40.3663972394484,448.51552488276
"Aluno62",0.366750287874286,61.6423333435364,684.914814928182
"Aluno63",0.402275392949762,62.3039991463234,692.266657181371
"Aluno64",-0.850180949175992,39.8983675101452,443.315194557169
"Aluno65",1.15796792625906,74.8761110183023,831.956789092248
"Aluno66",0.832582879253883,69.8921740000361,776.579711111512
"Aluno67",0.189505198262507,58.3002862176207,647.780957973564
"Aluno68",-0.392371087781705,47.4879992394392,527.644435993769
"Aluno69",-0.669020578055949,42.7751060632731,475.27895625859
"Aluno70",-0.272580445964937,49.6363088973528,551.51454330392
"Aluno71",-0.104376805582977,52.7406622580744,586.007358423049
"Aluno72",-0.643958913992238,43.1865939235691,479.851043595212
"Aluno73",0.505203177792255,64.1977019021548,713.307798912831
"Aluno74",-1.01750416358652,37.4028142970677,415.586825522974
"Aluno75",-2.15743224721278,25.6040643892126,284.489604324584
"Aluno76",1.10720017865146,74.1496941209109,823.885490232344
"Aluno77",-0.0383600330669659,53.9802502378748,599.780558198609
"Aluno78",-0.0377157044612025,53.9923923951313,599.915471057015
"Aluno79",-0.80780039166382,40.5556104635643,450.617894039604
"Aluno80",-1.80711848900096,28.1858121132797,313.175690147553
"Aluno81",1.15342850533331,74.8119657383384,831.244063759316
"Aluno82",-0.746035449741627,41.5308720420364,461.454133800405
"Aluno83",1.57175260615043,80.0365134120759,889.29459346751
"Aluno84",0.596252437512738,65.8374100111007,731.526777901118
"Aluno85",-0.411842773751237,47.1445203853339,523.828004281488
"Aluno86",-1.4421634528682,31.8736800333414,354.15200037046
"Aluno87",-0.686027048679835,42.4977071115722,472.196745684135
"Aluno88",-1.28015976388334,33.8356307201648,375.951452446275
"Aluno89",2.08368966306432,84.5660337141024,939.62259682336
"Aluno90",-0.152199334561864,51.8492295899953,576.102550999947
"Aluno91",1.30508660338918,76.8675495931821,854.08388436869
"Aluno92",-1.17375862328046,35.2257851242154,391.397612491282
"Aluno93",0.575868338347275,65.4735803157806,727.484225730896
"Aluno94",1.0702534516846,73.6086874636006,817.874305151118
"Aluno95",-0.417032493175344,47.0532580605985,522.813978451094
"Aluno96",0.80588679025107,69.4507057936755,771.674508818616
"Aluno97",-0.983210550841217,37.9009604066958,421.12178229662
"Aluno98",-1.42832066458515,32.0337576962856,355.93064106984
"Aluno99",0.572832524345089,65.4192268244759,726.880298049733
"Aluno100",-0.572316611086136,44.380351061479,493.115011794211
"Aluno101",0.338716881439454,61.1177907115065,679.086563461183
"Aluno102",-2.08499689974267,26.0648747913662,289.609719904069
"Aluno103",1.04703345188974,73.2634329600482,814.038144000536
"Aluno104",2.152905713872,85.0318530906372,944.798367673747
"Aluno105",-0.0948693300874748,52.9185866642092,587.984296268991
"Aluno106",-0.18187449488697,51.2993201114432,569.992445682702
"Aluno107",0.0459938813350241,55.57525433892,617.502825988
"Aluno108",-1.31513303801318,33.3959389477094,371.065988307883
"Aluno109",1.10434525139776,74.1082581699653,823.425090777392
"Aluno110",-1.87197295989272,27.6388005248317,307.097783609241
"Aluno111",-0.488722636437405,45.8051180769143,508.945756410159
"Aluno112",1.61319926470961,80.4779630635442,894.199589594936
"Aluno113",-0.577922637586718,44.2860179100786,492.06686566754
"Aluno114",0.462588820634036,63.4182901784694,704.64766864966
"Aluno115",0.846269889871689,70.1167354181201,779.074837979113
"Aluno116",0.790276735516033,69.1904756924182,768.783063249091
"Aluno117",-1.14014327391594,35.6808875769896,396.454306410996
"Aluno118",-0.466891503773661,46.1826908981589,513.141009979543
"Aluno119",2.12546667934067,84.8511023561205,942.790026179117
"Aluno120",-1.60944940298178,30.0547851232097,333.942056924552
"Aluno121",-0.535188520328735,45.0089949961488,500.099944401654
"Aluno122",-0.735761224824203,41.6950700434566,463.278556038406
"Aluno123",-0.0645605517512658,53.4871797626084,594.301997362316
"Aluno124",0.258894970370446,59.6147865743614,662.386517492905
"Aluno125",1.76224202007904,81.9538931408947,910.598812676608
"Aluno126",-0.825665931860111,40.2773501051499,447.526112279443
"Aluno127",0.650534212350355,66.7962573153309,742.18063683701
"Aluno128",0.625093322872327,66.3487233251245,737.208036945827
"Aluno129",0.54604579469038,64.9378017600768,721.53113066752
"Aluno130",-0.509509744547839,45.4476882382509,504.974313758343
"Aluno131",-0.625173862028066,43.4971167048184,483.301296720205
"Aluno132",-0.802816908852689,40.6335389985397,451.483766650441
"Aluno133",-0.188003574164394,51.1860777761492,568.734197512769
"Aluno134",0.271682950490351,59.8563662712418,665.070736347131
"Aluno135",0.641810826878035,66.6431814877345,740.479794308161
"Aluno136",0.749623017024399,68.5057008011534,761.174453346149
"Aluno137",-0.321368424765692,48.754292936172,541.714365957467
"Aluno138",1.95883878928392,83.6411966095473,929.34662899497
"Aluno139",1.33373267596101,77.2353319981921,858.170355535468
